spam	For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.
ham	Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x
spam	Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham	Guess who spent all last night phasing in and out of the fourth dimension
ham	I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham	Did you stitch his trouser
ham	thanks for the temales it was wonderful. Thank. Have a great week.
ham	Yo come over carlos will be here soon
ham	U can call me now...
ham	That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham	Am in film ill call you later.
ham	Is that seriously how you spell his name?
ham	They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.
ham	We confirm eating at esplanade?
ham	Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham	Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
ham	Hi Petey!noim ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
spam	Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham	Yo you around? A friend of mine's lookin to pick up later tonight
ham	Tell me something. Thats okay.
spam	A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
ham	Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
ham	Ya very nice. . .be ready on thursday
ham	Or remind me in a few hrs.
ham	Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham	The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
spam	Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
ham	Dear are you angry i was busy dear
ham	Please ask mummy to call father
ham	Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
spam	YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
spam	We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
spam	Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL
ham	Why de. You looking good only:-)..
ham	Awesome, I'll see you in a bit
spam	You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
ham	Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham	Aiyah u did ok already lar. E nydc at wheellock?
ham	Yes I know the cheesy songs from frosty the snowman :)
spam	Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop£1.50/week
spam	Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.
ham	Sorry . I will be able to get to you. See you in the morning.
spam	Adult 18 Content Your video will be with you shortly
ham	S'fine. Anytime. All the best with it.
ham	SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
ham	What happened in interview?
ham	Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
ham	Ok leave no need to ask
ham	Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham	Get ready for  &lt;#&gt;  inches of pleasure...
ham	Are you driving or training?
ham	Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham	Haven't seen my facebook, huh? Lol!
ham	Yo my trip got postponed, you still stocked up?
ham	Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham	CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO
ham	Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
ham	Dhoni have luck to win some big title.so we will win:)
ham	Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack
ham	So do you have samus shoulders yet
ham	Ü still got lessons?  Ü in sch?
ham	Sitting in mu waiting for everyone to get out of my suite so I can take a shower
ham	Nice.nice.how is it working?
ham	He telling not to tell any one. If so treat for me hi hi hi
ham	Yupz... I've oredi booked slots 4 my weekends liao... 
ham	I'll text carlos and let you know, hang on
ham	Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!
ham	I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham	I don't think he has spatula hands!
ham	I anything lor.
ham	Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?
ham	I WILL CAL YOU SIR. In meeting
ham	U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham	I might go 2 sch. Yar at e salon now v boring.
ham	Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
spam	FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV
ham	I've reached already.
ham	What time. I‘m out until prob 3 or so
